מפתח,חטיבה,חטיבה (כן/לא),רמה,WCOID,Occurence,האם שונה ביחס למסר המקור,XML Tag Name,"הצהרה
M/C/O/N",שם שדה/חטיבה,תיאור/ הערות,תיאור WCO,פורמט,Data Type,שם שדה בדור קיים,שם טבלה DATA BASE,מספר טבלה DATA BASE
557,GoodsShipment,כן,2,41A,0..999,לא,|           |____ CustomsValuation,O,פרטי עלויות נוספות לצרכי מכס - ברמת חשבון המכר,"חטיבה זו מכילה את השדות הדרושים להזנה של עלויות נוספות ברמת החשבון. 
נתוני הביטוח וההובלה מקורם לרוב בחשבון המטענים והם נדרשים כאשר סוג החשבון הוא FOB.
עלויות נוספות יכולות להיות גם תמלוגים או תשלום עבור כשרות ועוד. 
כמו כן, בחטיבה זו מציינים הנחות שניתנו בגין החשבון.
חטיבה זו היא רב מופעית וכל מופע מציין  התאמה/הפחתה אחת. בכל מופע יש שדה של סוג התאמה ושדה של סכום כספי.
להובלה (560) וביטוח (559) יש שדות יעודי להזנה של הסכום הכספי. לכל שאר סוגי ההתאמות יש שדה אחד להזנת הסכום (563).
בנוסף החטיבה משמשת כם להזנת אגרות נמל מוצהרת  במקרים הנדרשים לכך:
אמנם אגרת נמל מוצהרת  מתייחסות לכלל ההצהרה ולאו דווקא לחשבון ספציפי, אבל לפי מבנה מסר ה-WCO המקום היחיד שניתן להזין אותן הוא חטיבה CustomsValuation שנמצאת ברמת החשבון.
על מנת שלא לבצע שינויים במסר הוחלט שלא להוסיף חטיבה נוספת ולשבור את מבנה ה-WCO אלא כן להשתמש בחטיבה הקיימת ברמת החשבון.  אם הסוכן יודע את החלוקה של האגרות (או כל תוספת/התאמה אחרת) לכל חשבון הוא יכול לחלק את הסכום על כמה חשבונות. אם הוא לא יודע את החלוקה הוא יכול להזין את כל הסכום על החשבון הראשון. 
במקרים בהם המערכת מחשבת את אגרות הנמל המחושבת (למעשה זה המצב הנפוץ), האגרות ידווחו במסר המשוב תחת החשבון הראשון.
",,,חטיבה,,,
558,GoodsShipment,לא,3,371,0..1,לא,|           |           |____ ChargesTypeCode,O,סוג הפחתה/התאמה,סוג התאמה/הפחתה הקשורים לחשבון המכר. ,Code identifying the type of charge.,an..3, Code,,ModificationAndDiscountType,1416
559,GoodsShipment,לא,3,121,0..1,לא,|           |           |____ ExitToEntryChargeAmount,O,ביטוח,אם סוג ההתאמה/הפחתה היא ביטוח בלבד כאן יופיע הערך הכספי.,"Aggregate cost of freight, insurance and all other costs and expenses from the foreign exit location to the entry location.","n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
560,GoodsShipment,לא,3,117,0..1,לא,|           |           |____ FreightChargeAmount,O,הוצאות הובלה,אם סוג התאמה/הפחתה הוא הובלה בלבד כאן יופיע הערך הכספי.,"Costs incurred by the shipper in moving goods, by whatever means, from one place to another under the terms of the contract of carriage. In addition to transport costs, this may include such elements as packing, documentation, loading, unloading, and insurance (to the extent that they relate to the freight cost).","n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
563,GoodsShipment,לא,3,181,0..1,לא,|           |           |____ OtherChargeDeductionAmount,O,סכום הפחתה/התאמה,"אם סוג סעיף התשלום הוא לא ביטוח או הובלה, שעבורם יש שדות יעודיים, בשדה זה יצויין הסכום המדובר.",An amount added or subtracted from the total invoice price not previously taken into account when determining the Customs value.,"n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
565,GoodsShipment,לא,3,301,0..1,לא,|           |           |____ PaymentTermsCode,O,תנאי פירעון,"תנאי תשלום (מזומן/אשראי וכו'). דוגמאות:
שוטף+30
שוטף+45
מזומן
בגלל מבנה ה-WCO ששיטח את החשבון לחטיבות שונות תחת GoodsShipment השדה של תנאי הפירעון שהיה אמור להיות תחת Invoice נמצא פה. יהיה מופע אחד של חטיבה זו () שיכיל רק את השדה הזה ללא ציון של סוג הפחתה/התאמה.","Code describing the terms of payment expressed in international terms (e.g., Cash on Delivery (COD), 30/60/90 due dates, discounts, commissions) under which transaction is completed.",an..17, Code,,PaymentTerms,1425
627,GoodsItem,כן,2,68A,1..99999,לא,|           |____ GovernmentAgencyGoodsItem,M,פרטי סחורה,פרטי הסחורה המיובאת. מקביל לחטיבת סחורה במסר הקיים היום.,,,חטיבה,,,
632,GoodsItem,לא,3,006,0..1,לא,|           |           |____ SequenceNumeric,M,מספר מופע סחורה,מספר רץ של חטיבת הסחורה משמש כמפתח הלוגי שלה בהצהרה. (אותו סיווג יכול לחזור כמה פעמים באותה הצהרה ולכן הוא לא יכול לשמש כמפתח),Number indicating the position in a sequence.,n..5,Numeric,,,
1859,GoodsItem,כן,3,01L,1..1,כן,|           |           |____ DMExtensions,M,הרחבות ישראליות  (רמת סחורה),שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,,,חטיבה,,,
1781,GoodsItem,לא,4,I13,1..1,כן,|           |           |           |____CustomsBookType,M,סוג ספר מכס,"סוג ספר המכס המבוקש לצורך חישוב המיסים ובדיקת חוקיות היצוא. ערכים אפשריים : יבוא, יצוא, אוטונומיה",#N/A,an..4,Code,,CustomsBookType ,1065
1850,GoodsItem,לא,4,I14,0..1,כן,|           |           |           |____ TaxExemptCode,O,קוד הנחה/פטור ממיסים,במקרים בהם מעוניינים לקבל הנחה (בהתאם להגדרות המכס) ניתן להזין קוד הנחה. בעבר שדה זה נוהל כפרט נספח ובעקבות שינוים במנהל ספר המכס הפרידו את הנושא לשדה אחר.,#N/A,an..15,Code,,ValidCustomsItem,1966
1989,GoodsItem,לא,4,I84,0..1,כן,|           |           |           |____ OptionalTama,O,"תמ""א אופציונלי","אחוז התמ""א נקבע בספר המכס על פי סקר שוק שהתבצע ע""י יחידת מ""ק ומצא את הפער בין המחיר ביבוא למחיר הסיטוני. 

במידה ויבואן טוען כי המחיר הסיטוני שלו נמוך מהמחיר הממוצע בשוק – עליו לפנות ליחידת מ""ק ועל סמך הטפסים והאישורים שהוא מציג מאשרים לו להצהיר על אחוז תמ""א אחר. (נמוך יותר מהקבוע בספר המכס) – תהליך זה נקרא תמ""א אופציונאלי.

לדברי דרור בועדת לקוחות הוחלט כי ליבואן תוגדר אינדיקציה ברמת פרט מכס ותאריכי תוקף האם היבואן מורשה לעבוד עם תמ""א אופציונאלי בפרט זה. הוחלט לא לקבוע את האחוז לכל פרט.

בהגשת הצהרת יבוא, היבואן רשאי להזין את אחוז התמ""א הנכון לדעתו. (כיום קיים חסם תחתון של 5%) 
",,"n..5,2", Identifier,,,
2016,GoodsItem,לא,4,I91,0..1,כן,|           |           |           |____ SalesTaxExemptionType,O,פטור ממס קנייה,"השדה מציין האם היבואן מבקש פטור מתשלום של מס קנייה לפי אחד ההסדרים הבאים:
קוד 6 - פטור גורף ממס קנייה במקרים בהם זה רלוונטי
קוד 7 -פטור ספציפי ממס קנייה ",,an..4,code,,SalesTaxExemptionType,1702
2018,GoodsItem,לא,4,I93,0..1,כן,|           |           |           |____ IsUsed,M,האם משומש,"0= חדש 1=משומש
שדה בוליאני שמציין האם המוצר משומש. מטרת השדה לתת למעריך הסבר במקרה שמחיר הטובין שהוצהר נמוך ממחיר השוק.  (בשלב זה משמש רק בתהליך יבוא אישי-אינטרנט)
השדה הינו חובה.
מומלץ שהמערכת הבונה את המסר תשלח ערך ""0"" (חדש) כברירת מחדל.",,n1,indicator,,,
1913,GoodsItem,כן,4,05L,1..999,כן,|           |           |           |____ GoodsItemAmount,M,מחירים לסחורה,"חטיבה זו מכילה את כל סוגי המחירים הדרושים לחישוב המס על הסחורה. הסוכן מזין את הנתונים כפי שהם מופיעים בחשבון/או מידע נוסף (דוגמה: סיגריות[מחיר סיטונאי]). 
במקרים בהם, לצורך חישוב המיסים עבור פרט המכס נדרש לציין סוגי ערכי טובין שונים (למשל מחיר ששולם וגם מחיר סיטונאי) יש ריבוי מופעים של החטיבה כאשר בכל מופע יש שדה המאפיין את סוג המחיר המדובר.
הערה: יש לזכור כי מחיר ששולם בפועל מחושב באופן אוטומטי ע""י המערכת בהסתמך על המחיר שהזון וההתאמות/הפחתות.",,,חטיבה,,,
628,GoodsItem,לא,5,108,1..1,כן,|           |           |           |           |____ CustomsValueAmount,M,ערך טובין,"ערך הסחורה בהתאם לסוג המחיר (לדוגמה: מחיר בסיס / מחיר סיטונאי/וכו') ולפי קוד המטבע. 
חובה להזין לפחות מופע אחד של מחיר בסיס לסחורה (המחיר של כל הסחורה ללא הנחות או תוספות). סוגי מחירים אפשריים אחרים לדוגמה מחיר סיטונאי שמוזן במקרים מסוימים בהתאם לחוק.
סוג המחיר יצוין בשדה נפרד (1914).","Amount declared for Customs purposes of those goods in a consignment which are subject to the same Customs procedure, and have the same tariff/statistical heading, country information and duty regime.","n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
1914,GoodsItem,לא,5,I15,1..1,כן,|           |           |           |           |____ AmountType,M,סוג מחיר,"מאפיין את סוג המחיר המופיע בשדה אחר (628) באותה חטיבה יחד עם שדה זה.
בכל הצהרה ובכל סחורה חובה להזין לפחות מופע אחד של חטיבה זו עם סוג מחיר = (מחיר בסיס). שאר סוגי המחירים הם או מחושבים ע""י מערכת המכס (למשל ""מחיר לאחר מקדם העמסה"") או נדרשים לפי צורך (למשל ""מחיר סיטונאי"" לפרט מכס סיגריות)
סוגים לדוגמא: 
מחיר בסיס
מחיר סיטונאי",,an..4,Code,,AmountType,1436
1795,GoodsItem,כן,4,11L,0..1,כן,|           |           |           |_____ Vehicle          ,C,פרטי רכב,"חטיבה זו מכילה את כל המאפיינים של הרכב. במקרים בהם יש מספר מזהה מסוג ""תיק רכב"" (מה שבעבר נקרא ""רכבית"") יופיע רק שדה זיהוי הרכב וכל הנתונים האחרים ילקחו ממאגר כלי הרכב. במקרים בהם הרכב לא קיים עדיין במאגר כלי הרכב, (למשל יבוא אישי) יש להקים את ישות הרכב באמצעות מסר נפרד ורק לאחר מכן ניתן יהיה לקשר את הרכב להצהרה. את המסר הנפרד ניתן לשדר באותו שידור יחד עם ההצהרה מאחר והוא יעובד בשלב הראשון עוד לפני בדיקות התקינות של ההצהרה. הקישור יבוצע במקרה זה לפי מספר שלדה",,,חטיבה,,,
1841,GoodsItem,כן,5,07L,0..99999,כן,|           |           |           |           |____ProductIdentification,C,מספרי זיהוי לרכב,חטיבה זו משמשת לצורך הזנת האופנים השונים בהם מזהים את הסחורה. למשל סוג מספר תיק רכב/מספר שלדה/מספר המנוע,,,חטיבה,,,
1797,GoodsItem,לא,6,147,0..1,כן,|           |           |           |           |           |____ID,O,מספר זיהוי רכב,"כאשר אין תיק רכב או לא נמצא במחירון (רכב מעל 3.5 טון ודו גלגליים ממונעים) יוזן מספר שילדה.
בכל מקרה אחר יוזן מספר תיק רכב","Numbers or characters used to identify an object, for example the unique number affixed by the manufacturer to a product for identification purposes.",an..25,Identifier,,,
1798,GoodsItem,לא,6,347,0..1,כן,|           |           |           |           |           |____IDTypeCode,O,סוג זיהוי רכב (שילדה או תיק רכב),הסוג מציין מה האופי של מספר הזיהוי. (תיק רכב/שלדה/מספר מנוע),"The type of unique number affixed by the manufacturer to one instance of a product for identification purposes, such as a serial number, vehicle identification number (VIN).",an..3,Code,,CargoIdentityQualifier,1326
634,GoodsItem,כן,3,02A,0..999,לא,|           |           |____ AdditionalDocument,O,פרטי מסמכים מצורפים לסחורה,"קישור למסמכים מצורפים ברמת זו מכיל שדות נוספים שלא קיימים בשאר המקומות. זאת משום שמעבר לקישור לצרופה הסרוקה עצמה, כאן יש צורך לציין גם את המספר של הרישיון (ידני או ממוחשב). 
זה משמש לצורך בדיקות התקינות וכן יצירת הקשרים המתאימים בין טיפוסי המסמכים השונים העוברים בחטיבה זו. 
כמו כן, במקרה וטיפוס המסמך הוא ""פטור מרישיון"" ישנו שדה נפרד המאפשר לציין את הפטור מרישיון/אישור (לפי קודי סיבות מוגדרים מראש) במקרים בהם חוקי המכס מאפשרים זאת.",,,חטיבה,,,
636,GoodsItem,לא,4,D005,0..1,לא,|           |           |           |____ ID,O,מספר הרישיון למענה,"המספר של המסמך כפי שניתן לו ע""י הגורם שהפיק אותו. משמש עבור מספר רישיון/אישור (כפי שנקבע ע""י משרד הבריאות, למשל).",Identifier of a document providing additional information.,an..35,Identifier,,,
640,GoodsItem,לא,4,360,0..1,לא,|           |           |           |____ LPCOExemptionCode,O,פטור מאישור,"מאפשר לציין פטור מאישור (לפי קודי סיבות מוגדרים מראש) במקרים בהם חוקי המכס מאפשרים זאת.
גם במקרים בהם הוזן קוד פטור עדיין על המשתמש להזין לאיזה דרישה לרישיון הפטור הזה מתייחס (לפי השדות המתאימים בחטיבה זו).","Type of exemption from a license, permit, certificate, or other document (LPCO) or indication that no LPCO is required.",an..3, Code ,,CertificateExemptionCode,1423
644,GoodsItem,לא,4,D006,0..1,לא,|           |           |           |____ TypeCode,O,סוג רשומת צרופה,סוג המסמך המצורף מציין האם זה רישיון/ אישור ממחושב או רישיון/אישור ידני או פטור מרישיון/אישור או כל מסמך סרוק אחר. לפי הסוג המערכת תדע ליצור את הקישורים המתאימים בין הישויות.,Code specifying the name of an additional document.,an..3, Code,,AttachmentType,1585
1860,GoodsItem,כן,4,01L,0..1,כן,|           |           |           |____ DMExtensions,O,הרחבות ישראליות  (רמת סחורה),שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,,,חטיבה,,,
1985,GoodsItem,לא,5,I82,0..1,לא,|           |           |           |           |____ LPCOTypeCode,O,סוג אישור למענה,סוג האישור משמש כחלק מהמפתח לזיהוי הרישיון/אישור במערכת. (בנוסף לגורם מאשר ומספר הרישיון),#N/A,an..3,Code,,ConfirmationType,1604
1911,GoodsItem,לא,5,I74,0..1,כן,|           |           |           |           |____ AttachmentID,O,זיהוי צרופה במערכת המכס,מספר הצרופה כפי שהיא נקבעה בעת הקליטה שלה במערכת המכס. (הצרופה נקלטת בנפרד מההצהרה),,an..17, Identifier,,,
1746,GoodsItem,לא,5,I06,0..1,כן,|           |           |           |           |____ ExternalAttachmentID,O,מספר הצרופה במע סוכן המכס,מספר הצרופה כפי שהיא נקבעה במערכת הסוכן ,#N/A,an..35, Identifier,,,
2005,GoodsItem,לא,5,I89,0..1,כן,|           |           |           |           |____ requirementLicenseType,O,סוג רישיון נדרש,שדה זה מוזן ע''י המשתמש והוא בא ליצג את את סוג הרישיון/אישור הנדרש לפי חוקי המכס. לצד הרישיון הנדרש המשתמש מזין את המענה שלו שיכול להיות פטור מרישיון או אפילו רישיון מסוג אחר (בהתאם לבדיקות עסקיות),#N/A,an..4,Code,,ConfirmationType,1604
712,GoodsItem,כן,3,23A,1..1,לא,|           |           |____ Commodity,M,פרטי סחורות - המשך,"לפי תקן ה-WCO שורת הסחורה פוצלה לשני תתי חטיבות עיקריות governgmentAgencyGoodsItem המכילה בעיקר מאפיינים מכסיים של הסחורה (כמויות ומחירים) ו-commodity המכילה בעיקר מאפיינים פיסיים של הסחורה (מספרים סיריאלים סיווג ועוד'). במערכת המכס הישראלית אין צורך בפיצול הזה ואין משמעות לקשר 0..* שהוגדר בין בתי החטיבות במקור. כדי להיצמד למבנה המסר לפי תקן ה-WCO, אנחנו משתמשים בשתי החטיבות אבל נתייחס אל שתי החטיבות כאל ישות לוגית אחת כלומר הקשר בין goodsItem ל-commodity  יוגבל להיות 1..1.",,,חטיבה,,,
1861,GoodsItem,כן,4,01L,0..1,כן,|           |           |           |____ DMExtensions,O,הרחבות ישראליות ,שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,,,חטיבה,,,
2012,GoodsItem,לא,5,164,0..1,לא,|           |           |           |           |____ DutyRegimeCode,O,קוד הסכם (תעריף),"ביבוא שדה זה מכיל את קוד התעריף המבוקש לצורך חישוב המיסים. לפי ההסכם המבוקש ייתכן ויבואן יידרש להציג מסמכים המעידים על מקור הטובין לצורך אימות הזכאות להטבה.
ביצוא שדה זה יכיל את קוד הסכם ההעדפה המעיד על ההטבה עבור סחורה זו במידה והיא אכן נכללת בהצהרת המקור. לתעריף ביצוא אין השפעה על חישוב (אם יש מיסים). 
יבוא + יצוא: הקישור למסמך העדפה עצמו יופיע בחטיבת הצרופות לסחורה. 
",Code specifying a type of duty regime.,an..3,Code,,TradeAgreementTypeView,2009
745,GoodsItem,כן,5,09L,0..999,כן,|           |           |           |           |____SerialNumbers,O,מספרים סריאלים,"חטיבה רב מופעית המשמשת להזנת המספרים הסריאלים של הסחורה המסווגת. שדה רשות המשמש למשל עבור הוכחת יצוא של טלפון מסויים לצורך תיקון כך שבעת ההחזרה שלו לא יידרש מס נוסף.
לפי תקן ה-WCO השדות 147 ו347 תמיד באים ביחד, הראשון מכיל ערך מספרי/תווי המשמש לזיהוי הסחורה והשני מכיל את הסוג של הזיהוי הזה. (למשל שדה 147=""FRFC343"" ושדה 347=""מספר סיריאלי"", או שדה 147=""FRFC343"" ושדה 347=""מספר VIN"" יפוענחו אחרת)",,,חטיבה,,,
746,GoodsItem,לא,6,147,0..1,כן,|           |           |           |           |           |____ID,O,ערך מספרים סריאלים,הערך של המספר המזהה, The non-commercial categorization of a commodity by a standard-setting organization.,an..25,Identifier,,,
747,GoodsItem,לא,6,347,0..1,כן,|           |           |           |           |           |____ IdentityQualifierCode,O,סוג מספר מזהה,הסוג מציין מה האופי של המספרים הסריאליים. ישנם סוגים שונים כמו מספר מספר סריאלי או VIN  המשמש לזיהוי רכבים.,Text description of the markings on a consumer level package,an..3, Code,,CargoIdentityQualifier,1326
1769,GoodsItem,כן,5,06L,0..999,לא,|           |           |           |           |____ ProductName,C,שמות ותיאורים,"שמות ותיאורים של הסחורה. בחטיבה זו יופיעו למשל שם מותג (נייק), שם מוצר (נעלי כדורסל), תיאור (נעליים שיוצרו בסין ). כל מופע של החטיבה מציין ערך אחד לפי הסוג בשדה 735.",,,חטיבה,,,
734,GoodsItem,לא,6,258,0..1,לא,|           |           |           |           |           |____ Name,C,ערך תיאור/שם,מלל חופשי המכיל את הנתון המתאר המוצר. יכול להיות שם מותג או תיאור מלא יותר. ,"A name or a term that identifies the goods are assigned by a seller as distinct from those of other sellers, also known in legal terms as trademark. A brand helps to identify one item, a family of items, or all items of that seller. ",an..35,Text,,,
735,GoodsItem,לא,6,335,0..1,לא,|           |           |           |           |           |____ NameQualifierCode,C,סוג תיאור,קוד המציין את השימוש הרצוי עבור הערך במופע הזה. מציין אם זה תיאור/שם מותג/ שם ישראלי וכו',"A qualifier to describe the commodity name, e.g. common name, registered name, brand name",an..3, Code,,ProductNameTypeCode,1439
1990,GoodsItem,כן,5,07L,0..999,כן,|           |           |           |           |____ProductIdentification,O,מספרי זיהוי לסחורה,"חטיבה זו משמשת לצורך הזנת האופנים השונים בהם מזהים את הסחורה. למשל סוג דגם (מק""ט) או זיהוי מסחרי.
וכל מופע של החטיבה מכיל את סוג הערך המדווח (דגם/מק""ט) וכן את הערך שלו (למשל 65478gh) לאותה סחורה לא יכולים להיות כמה מקטים שונים וזאת בניגוד למספרים סריאלים שיכולים להיות רבים לאותה סחורה.",,,חטיבה,,,
1991,GoodsItem,לא,6,147,0..1,כן,|           |           |           |           |           |____ID,O,מספר זיהוי סחורה,הערך של המזהה,"Numbers or characters used to identify an object, for example the unique number affixed by the manufacturer to a product for identification purposes.",an..25,Identifier,,,
1992,GoodsItem,לא,6,338,0..1,כן,|           |           |           |           |           |____IDTypeCode,O,סוג זיהוי סחורה,"הטיפוס של המזהה. מציין האם זה מק""ט / דגם וכו'",A code identifying the type of commodity identifier.,an..3, Code,,ProductIdentificationType,1592
1994,GoodsItem,כן,5,16L,0..999,כן,|           |           |           |           |____TradeLevyAndExampt,O,היטלי סחר לסחורה,"חטיבה זו משמשת להזנת סוגי ההיטלים המשוייכים לסחורה זו בספר המכס תוך דיווח מאילו היטלים מבקשים פטור.
בעת קליטת ההצהרה מתבצעת בדיקה שאם בספר המכס מוגדר היטל לסחורה זו אז חובה לדווח אותו. במידה ומבקשים פטור מההיטל יש לציין זאת בשדה המתאים בחטיבה זו.",,,חטיבה,,,
1995,GoodsItem,לא,6,I85,0..1,כן,|           |           |           |           |           |____ tradeLevyNumber,O,זיהוי היטל סחר,מספר ההיטל כפי שהוא מוכר בספר המכס,מספר ההיטל כפי שהוא מוכר בספר המכס,n..10, Identifier,,TradeLevy,
1996,GoodsItem,לא,6,I86,0..1,כן,|           |           |           |           |           |____ tradeLevyExamptCode,O,קוד פטור מהיטל,"דיווח האם מבקשים פטור מההיטל.
חובה לציין עבור כל ההיטלים המשוייכים לפרט המכס.","דיווח האם מבקשים פטור מההיטל.
הערך 0 מציין שלא מבקשים פטור והערך 1 שכן מבקשים פטור.",an..3, Identifier,,TradeLevyExamptType,1437
2009,GoodsItem,כן,5,03L,0..999,כן,|           |           |           |           |____ ValuationDeductionAdjustment,N,התאמות למחיר הסחורה,"חטיבה זו מכילה את ההפחתות או התוספות שהשפיעו על ערך הסחורה לצרכי החישוב של המס.
עבור ההפחתות של הרכב חטיבה זו תכיל את הסיכום של ההפחתה מאותו סוג בכל הרכבים הנמצאים תחת סחורה זו. כלומר אם יש 2 רכבים ולכל אחד יש הפחתה בגין מדד ירוק של 100 ₪ כאן תופיע הפחתה עם קוד ""מדד ירוק"" וערך 200 ש""ח.",Date of initial loading onto ship or airplane during one journey from export place to import place.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
",חטיבה,,,
2010,GoodsItem,לא,6,371,0..1,כן,|           |           |           |           |           |____ChargesTypeCode,N,סוג הפחתה/התאמה,"סוג התאמה/הפחתה המשפיעים על ערך הסחורה לצורך חישוב המס.
מקרה של הפחתות בגין מספר רכבים, בשדה זה יהיה קוד שיציין סה""כ לסוג הפחתה עבור כל הרכבים. דוגמא: תחת סחורה X יש 2 רכבים עם הפחתה של ABS. לראשון 100 ₪ ולשני 200 ₪. בשורת ההפחתות של הסחורה יהיה הקוד ""סה""כ הפחתות ABS"" והערך 300.",Code identifying the type of charge.,an..3, Code,,ModificationAndDiscountType,1416
2011,GoodsItem,לא,6,111 ,0..1,כן,|           |           |           |           |           |____ DeductAmount,N,סכום הפחתה,סכום שהופחת מערך הסחורה בהתאם לחוקי המכס,Amount of deduction from a duty or tax.,"n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
842,GoodsItem,כן,4,21A,1..999,לא,|           |           |           |____ Classification,M,סיווג,"חטיבה זו מכילה את הסיווג של הסחורה.
לפי תקן ה-WCO השדות שזיהוי ה-WCO שלהם הוא 145 ו337 הולכים תמיד יחד. הראשון מכיל את הערך התווי/מספרי של סוג הזיהוי ואילו השדה השני מציין מה המשמעות של ערך זה. ניתן לסווג לפי צורות שונות, למשל לפי ספר המכס הבינןלאומי (HS) או לפי מספר או""ם או לפי SSO. בהצהרת היבוא הערך הקביל היחיד עבור שדה 337 (כרגע) הוא HS. השארנו אותו כדי לא לחרוג ממבנה המסר וכן עבור היצוא.
על מנת לתמוך במנגנון ההצבעות (Pointer)   תמיד יש לשלוח את הסיווג המהותי (HS) במופע מס' 1. ECCN מופע מספר 2. SSO מופע מספר 3.",,,חטיבה,,,
843,GoodsItem,לא,5,145,0..1,לא,|           |           |           |           |____ ID,M,ערך סיווג,הערך עצמו של הסיווג. מספר פרט כפי שמופיע בספר המכס או ברשימה אחרת (רשימת חומרים מסוכנים), The non-commercial categorization of a commodity by a standard-setting organization.,an..18,Identifier,,אם סיווג של ספר המכס אז ValidCustomsItem,אם סיווג של ספר המכס אז 1966
844,GoodsItem,לא,5,337,0..1,לא,|           |           |           |           |____ IdentificationTypeCode,M,סוג ערך הסיווג,מציין את הטיפוס של הסיווג האם זה סיווג לפי HS ספר המכס או לפי רשימה אחרת כגון רשימת חומרים מסוכנים (SSO),"A qualifier to describe the commodity classification, e.g. Harmonized Tariff Schedule (HTS), Export Control Classification Code (ECCC), UNDG Code list, International Code of
Zoological Nomenclature (ICZN)",an..3,Code,,ClassificationType,1384
2006,GoodsItem,כן,5,01L,0..1,כן,|           |           |           |           |____ DMExtensions,O,הרחבות ישראליות ,שדות שלא הופיעו במסר ה-WCO המקורי אך נחוצים למכס לתפעול המערכת,,,חטיבה,,,
2007,GoodsItem,לא,6,341,0..1,,|           |           |           |           |           |____ DangerousGoodsPackingRequirementsGroupCode  ,O,קוד קבוצת אריזה לחומר מסוכן,"השדה משמש לזיהוי רמת הסיכון של החומר המסוכן. רמת הסיכון נקבעת לפי סוג האריזה הספציפי של החומר.

חובה כאשר מדובר בחומר מסוכן (המופע של החטיבה הוא מספר או""ם)

הקודים המתקבלים הם מטבלת untded 7223 ומוגבלים לערכים 47/48/49. אותם יש להמיר למוגדר בטבלת החומרים המסוכנים שרמת האריזה שם מוגדרת עם הערכים 1/2/3 בהתאמה.

ערכים 1 או  2 או 3 או בלנק .הצירוף של קב' סיכון + רמת סיכון חייב להופיע בטבלה של חומרים מסוכנים (HazardousSubstence)",A code to describe the packing requirements based on the relative degree of danger represented by the hazardous material.,an..3,Code,,DangerousGoodsPackingReq,1266
902,GoodsItem,כן,4,50A,0..999,לא,|           |           |           |____ DutyTaxFee,N,פירוט מיסים,חטיבה זו מכילה את הנתונים המשמשים כפרמטרים לצורך חישוב המיסים.,,,חטיבה,,,
903,GoodsItem,לא,5,116 ,0..1,כן,|           |           |           |           |____ AdValoremTaxBaseAmount,N,בסיס לחישוב מס,To specify the amount on which a duty or tax or fee will be assessed.,"n..16,2
(Floating delimiter with maximum decimals as defined)","n..16,2",Amount,,,
906,GoodsItem,לא,5,164,0..1,לא,|           |           |           |           |____ DutyRegimeCode,N,קוד הסכם (תעריף),במסר המשוב שדה זה מכיל את קוד ההסכם שלפיו חושבו המיסים. (אמור להיות אותו הסכם קוד הסכפ שבשדה 2012 אותו ביקשו במסר ההצהרה).,Code specifying a type of duty regime.,an..3,Code,,TradeAgreementTypeView,2009
910,GoodsItem,לא,5,113,0..1,לא,|           |           |           |           |____ TypeCode,N,סעיף מס שחושב,"במסר המשוב שדה זה מכיל את קוד סעיף המס שלגביו חושבו המיסים. אחד מסעיפי המס יכול להיות ""היטל"", במידה והוזן כפרמטר לחישוב המיסים בעת קליטת ההצהרה.",Code specifying a type of duty or tax applicable to commodities or a type of tax or fee applicable to services.,an..3,Code,,ParagraphType,1120
909,GoodsItem,לא,5,115 ,0..1,כן,|           |           |           |           |____ TaxRate,N,שיעור המס,שיעור המס המופיע בספר המכס ולפיו חושב המס,Rate of duty or tax or fee applicable to commodities or of tax applicable to services.,"an..17,2
(Floating delimiter with maximum decimals as defined)",Numeric,,,
1936,GoodsItem,כן,5,01L,0..1,כן,|           |           |           |           |____ DMExtensions,N,הרחבות ישראלוית לפרטי מיסים ברמת הצהרה,שדות אלו מהווים את ההרחבות הישראליות לנושא הדיווח על המיסים ואופן חישובם. שדות אלו לא היו קיימים במסר המקורי של ה-WCO ונוספו על מנת לתמוך בדרישות הישראליות,Code specifying the status of a document.,,חטיבה,,,
1941,GoodsItem,כן,7,04L,0..1,כן,           |           |           |           |           |           |____ CalculatedTax,N,מיסים מחושבים,בחטיבה זו מופיעים כל השדות המציינים את סכום המס שחושב על בסיס הנתונים שבחטיבה הקודמת,Date of initial loading onto ship or airplane during one journey from export place to import place.,"an..17
UNTDID 2379 = 304   CCYYMMDDHHMMSSZZZ         Z=Time zone.
",חטיבה,,,
1942,GoodsItem,לא,8,I48,0..1,כן,           |           |           |           |           |           |           |____ Amount,N,סכום מס,"סכום המס שחושב ע""י המערכת לסוג המס הנדון","סכום המס שחושב ע""י המערכת לסוג המס הנדון","n..16,2
(Floating delimiter with maximum decimals as defined)",Amount,,,
